,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
60,Frolovo,49.77,43.66,68.16,60,94,4.14,RU,1595285346
61,Shingū,33.73,135.98,80.78,74,99,4.63,JP,1595285346
62,Tosno,59.54,30.88,63.0,82,81,2.24,RU,1595285346
63,Ahipara,-35.17,173.17,60.22,87,69,13.98,NZ,1595285346
64,Namatanai,-3.67,152.43,83.55,70,29,5.86,PG,1595285347
65,Kaitangata,-46.28,169.85,55.0,58,100,1.01,NZ,1595285347
66,Payo,-3.75,103.64,71.67,94,43,2.15,ID,1595285347
67,Cape Town,-33.93,18.42,51.01,93,0,1.12,ZA,1595285110
68,Jining,35.41,116.58,80.01,25,100,6.55,CN,1595285347
69,Nanortalik,60.14,-45.24,48.99,64,2,1.34,GL,1595285052
70,Fortuna,40.6,-124.16,63.0,77,20,14.99,US,1595285347
71,Albany,42.6,-73.97,87.01,46,81,7.65,US,1595285134
72,Kahului,20.89,-156.47,89.6,46,40,24.16,US,1595285348
73,Thompson,55.74,-97.86,75.2,41,75,9.17,CA,1595285348
74,Castro,-24.79,-50.01,56.16,85,0,4.38,BR,1595285298
75,Cabo San Lucas,22.89,-109.91,96.01,34,40,12.75,MX,1595285348
76,Meadow Lake,34.8,-106.54,97.0,13,20,14.99,US,1595285128
77,Baft,29.23,56.61,64.56,27,0,7.9,IR,1595285348
78,Adrar,20.5,-10.07,95.58,20,28,1.81,MR,1595285349
79,Natchez,31.56,-91.4,78.8,94,90,11.41,US,1595285349
80,Saint Paul Harbor,57.79,-152.41,73.4,46,1,14.99,US,1595285025
81,Broome,42.25,-75.83,82.0,44,1,6.93,US,1595285349
82,Union,40.63,-74.27,93.99,38,75,12.75,US,1595285349
83,Thinadhoo,0.53,72.93,83.93,77,98,16.69,MV,1595285150
84,Ribeira Grande,38.52,-28.7,69.64,72,96,3.4,PT,1595285349
85,Isla Vista,34.41,-119.86,81.0,53,1,8.05,US,1595285307
86,Abu Samrah,35.3,37.18,74.35,49,0,8.52,SY,1595285350
87,Gerāsh,27.67,54.14,79.7,22,11,4.65,IR,1595285350
88,Hithadhoo,-0.6,73.08,83.82,78,95,15.39,MV,1595285053
89,Australind,-33.27,115.72,46.99,67,72,8.93,AU,1595285350
90,George Town,5.41,100.34,77.0,94,20,2.24,MY,1595285130
91,Cherskiy,68.75,161.3,73.35,35,93,6.71,RU,1595285350
92,Hobart,-42.88,147.33,50.0,87,75,4.7,AU,1595285351
93,Provideniya,64.38,-173.3,50.0,81,75,11.18,RU,1595285351
94,Bend,44.06,-121.32,93.2,15,1,4.7,US,1595285351
95,Ban Mo,14.62,100.73,78.06,89,100,6.22,TH,1595285351
96,Husavik,66.04,-17.34,48.2,76,64,4.7,IS,1595285351
97,Boa Vista,2.82,-60.67,82.4,74,40,2.24,BR,1595285351
98,Sept-Îles,50.2,-66.38,80.6,44,75,21.92,CA,1595285257
99,Dunedin,-45.87,170.5,52.18,65,90,7.67,NZ,1595285352
100,Ouésso,1.61,16.05,71.04,93,100,1.48,CG,1595285352
101,Flinders,-34.58,150.86,52.0,67,1,7.0,AU,1595285352
102,Labytnangi,66.66,66.42,54.86,68,58,5.46,RU,1595285352
103,Marzuq,14.4,46.47,82.35,44,99,5.95,YE,1595285352
104,Asău,46.43,26.4,57.99,94,0,4.59,RO,1595285126
105,Talara,-4.58,-81.27,62.67,87,14,16.87,PE,1595285352
106,Souillac,-20.52,57.52,68.0,72,75,9.17,MU,1595285115
107,Port Alfred,-33.59,26.89,58.48,72,0,5.28,ZA,1595285313
108,Avarua,-21.21,-159.78,78.8,74,88,19.46,CK,1595285353
109,Giresun Province,40.5,38.5,78.8,78,75,9.17,TR,1595285353
110,Grand Gaube,-20.01,57.66,69.01,63,70,5.99,MU,1595285353
111,Barrow,71.29,-156.79,35.6,80,75,6.93,US,1595285223
112,Narsaq,60.92,-46.05,60.8,38,3,8.05,GL,1595285353
113,Kalmunai,7.42,81.82,80.71,81,100,2.1,LK,1595285054
114,Nikolskoye,59.7,30.79,63.0,82,94,2.24,RU,1595285340
115,Columbia,34.0,-81.03,87.8,62,20,4.7,US,1595285059
116,Longyearbyen,78.22,15.64,44.6,93,75,3.36,SJ,1595285354
117,Kununurra,-15.77,128.73,71.6,25,5,14.99,AU,1595285284
118,Ponta do Sol,32.67,-17.1,71.6,64,40,10.29,PT,1595285336
119,Benghazi,32.12,20.07,76.64,72,0,18.21,LY,1595285354
120,Saskylakh,71.92,114.08,56.32,52,72,7.09,RU,1595285354
121,Tura,25.52,90.22,74.28,98,100,4.52,IN,1595285118
122,Pontal do Paraná,-25.65,-48.51,57.99,80,0,2.48,BR,1595285355
123,Madaoua,14.07,5.96,77.36,63,53,29.12,NE,1595285355
124,Gao,16.64,1.64,87.06,41,40,12.37,ML,1595285355
125,Kavaratti,10.57,72.64,82.36,80,100,21.63,IN,1595285355
126,Manokwari,-0.87,134.08,83.26,65,64,5.88,ID,1595285355
127,Cidreira,-30.18,-50.21,67.32,75,77,6.67,BR,1595285356
128,Sirte,31.21,16.59,76.48,78,0,11.01,LY,1595285356
129,Mathbaria,22.29,89.96,82.08,84,100,11.1,BD,1595285356
130,Vila Velha,-20.33,-40.29,75.99,83,75,5.82,BR,1595285095
131,Cap Malheureux,-19.98,57.61,69.01,63,60,5.99,MU,1595285356
132,Iqaluit,63.75,-68.51,46.4,93,75,4.7,CA,1595285356
133,Gusau,12.16,6.66,77.86,77,73,11.79,NG,1595285356
134,Arraial do Cabo,-22.97,-42.03,71.19,84,0,19.26,BR,1595285356
135,Kapaa,22.08,-159.32,82.4,69,90,14.99,US,1595285357
136,Guarapari,-20.67,-40.5,75.99,75,16,4.47,BR,1595285357
137,Bela Vista,-22.11,-56.52,74.62,44,0,4.72,BR,1595285357
138,East London,-33.02,27.91,63.07,41,0,6.08,ZA,1595285026
139,Kizilskoye,52.73,58.89,60.66,83,0,5.66,RU,1595285358
140,Itoman,26.12,127.67,84.2,83,20,3.36,JP,1595285358
141,Pevek,69.7,170.31,46.53,58,10,3.36,RU,1595285358
142,Ţahţā,26.77,31.5,87.8,27,0,6.93,EG,1595285193
143,Constitución,-35.33,-72.42,53.89,80,95,7.09,CL,1595285358
144,Bredasdorp,-34.53,20.04,60.8,87,16,6.93,ZA,1595284879
145,Ulety,51.36,112.48,52.38,59,53,7.25,RU,1595285358
146,Mobile,30.78,-88.2,90.0,59,75,10.29,US,1595285218
147,Vardø,70.37,31.11,58.73,82,99,5.64,NO,1595285359
148,Tahe,52.33,124.73,60.66,63,6,9.82,CN,1595285359
149,San Quintín,30.48,-115.95,75.74,51,0,20.62,MX,1595285359
150,Sri Aman,1.24,111.46,73.4,100,99,1.03,MY,1595285359
151,Alice Town,25.72,-79.3,83.95,77,8,18.05,BS,1595285359
152,Kiama,-34.68,150.87,52.0,63,2,3.0,AU,1595285359
153,Tabou,4.42,-7.35,76.42,89,68,9.84,CI,1595285359
154,Dwārka,22.24,68.97,83.84,80,76,19.3,IN,1595285109
155,Bubaque,11.28,-15.83,80.85,81,100,14.74,GW,1595285360
156,Samarai,-10.62,150.67,77.49,80,88,16.46,PG,1595285360
157,La Palma,33.85,-118.05,87.01,47,1,8.05,US,1595285360
158,Iracoubo,5.48,-53.2,78.42,85,100,8.63,GF,1595285360
159,Dutse,11.76,9.34,77.68,69,81,7.2,NG,1595285361
160,Codajás,-3.84,-62.06,79.47,68,94,2.37,BR,1595285361
161,Vuktyl,63.86,57.31,52.68,76,0,4.83,RU,1595285361
162,Mae Hong Son,19.3,97.97,74.82,88,99,1.07,TH,1595285361
163,Kandrian,-6.22,149.55,81.28,80,19,10.45,PG,1595285361
164,Ranau,5.95,116.66,77.0,94,20,5.82,MY,1595285088
165,Severo-Kuril'sk,50.68,156.12,53.44,76,7,3.69,RU,1595285336
166,Mendi,-6.18,143.65,61.29,62,0,1.59,PG,1595285361
167,Umm Kaddadah,13.6,26.69,81.3,59,0,6.49,SD,1595285362
168,Cosalá,24.41,-106.69,86.0,78,54,7.0,MX,1595285165
169,Bereda,43.27,-7.54,63.0,98,81,11.99,ES,1595285362
170,Tabas,33.6,56.92,89.6,17,0,6.93,IR,1595285362
171,Morón,-34.65,-58.62,60.8,93,90,3.36,AR,1595285362
172,Crotone,39.09,17.12,73.44,56,0,5.88,IT,1595285362
173,São João da Barra,-21.64,-41.05,70.95,84,0,10.98,BR,1595285362
174,San Juan,-31.54,-68.54,54.09,53,3,9.13,AR,1595285103
175,Monrovia,6.3,-10.8,77.02,86,100,12.26,LR,1595285104
176,Pisco,-13.7,-76.22,62.6,82,20,6.93,PE,1595285102
177,Westport,41.14,-73.36,93.2,41,40,13.87,US,1595285225
178,Naze,28.37,129.48,82.4,88,40,2.24,JP,1595285363
179,Tyukhtet,56.54,89.3,59.31,97,27,3.22,RU,1595285363
180,Tuatapere,-46.13,167.68,39.0,83,86,3.0,NZ,1595285363
181,Najrān,17.49,44.13,82.4,51,78,4.7,SA,1595285364
182,Lavrentiya,65.58,-171.0,46.24,75,100,5.86,RU,1595285364
183,Bamnet Narong,15.5,101.69,76.91,80,100,3.96,TH,1595285364
184,Luanda,-8.84,13.23,69.8,88,20,6.93,AO,1595285364
185,Perth,-31.93,115.83,53.6,62,53,10.29,AU,1595285115
186,San Patricio,19.22,-104.7,87.8,74,40,17.22,MX,1595285364
187,Makkah al Mukarramah,21.43,39.83,88.18,42,71,4.63,SA,1595285364
188,Porbandar,21.64,69.61,83.98,77,70,15.95,IN,1595285364
189,Puerto Ayora,-0.74,-90.35,71.01,85,93,7.0,EC,1595285365
190,Guerrero Negro,27.98,-114.06,85.15,40,7,18.03,MX,1595285120
191,Saint-Joseph,-21.37,55.62,66.2,68,90,11.41,RE,1595285365
192,Peniche,39.36,-9.38,71.01,87,66,8.01,PT,1595285353
193,Sheksna,59.21,38.51,58.48,95,100,5.82,RU,1595285365
194,Torbay,47.67,-52.73,69.8,77,75,16.11,CA,1595285365
195,Caucayá,-0.19,-74.78,74.7,95,60,0.2,CO,1595285365
196,Boké,10.94,-14.3,75.38,91,100,5.41,GN,1595285366
197,Port Blair,11.67,92.75,80.73,78,100,4.23,IN,1595285366
198,Eyl,7.98,49.82,79.77,59,48,23.04,SO,1595285366
199,Virginia Beach,36.85,-75.98,91.99,62,75,9.1,US,1595285179
200,Yerofey Pavlovich,53.97,121.97,53.53,88,41,4.09,RU,1595285366
201,Upernavik,72.79,-56.15,48.99,52,1,9.17,GL,1595285350
202,Hasaki,35.73,140.83,71.01,100,75,3.36,JP,1595285366
203,Darhan,49.49,105.92,60.19,69,0,2.89,MN,1595285366
204,Dubuque,42.48,-90.87,80.01,69,90,6.93,US,1595285367
205,Whyalla,-33.03,137.58,44.6,100,99,6.93,AU,1595285367
206,Rocha,-34.48,-54.33,69.48,77,100,6.93,UY,1595285306
207,Kavieng,-2.57,150.8,84.13,73,78,10.13,PG,1595285083
208,Aykhal,66.0,111.5,51.8,93,90,11.18,RU,1595285367
209,Ilulissat,69.22,-51.1,53.6,50,85,2.24,GL,1595285367
210,Paracuru,-3.41,-39.03,73.99,83,82,1.99,BR,1595285367
211,Kloulklubed,7.04,134.26,84.16,64,27,4.12,PW,1595285368
212,Härnösand,62.63,17.94,59.0,100,100,6.93,SE,1595285368
213,Kerema,-7.96,145.78,78.91,83,19,1.66,PG,1595285368
214,Bāneh,36.0,45.89,71.08,28,0,5.44,IR,1595285368
215,Nhulunbuy,-12.23,136.77,75.2,78,40,6.93,AU,1595285126
216,Thohoyandou,-22.95,30.48,50.14,72,0,2.15,ZA,1595285368
217,Semnan,35.57,53.4,77.05,24,0,3.22,IR,1595285224
218,Mabamba,-3.6,30.5,64.83,54,40,2.35,TZ,1595285369
219,Reconquista,-29.15,-59.65,74.89,62,100,9.64,AR,1595285369
220,Robertsport,6.75,-11.37,76.78,87,100,12.97,LR,1595285369
221,Hue,16.47,107.6,78.8,94,20,1.12,VN,1595285369
222,Yellowknife,62.46,-114.35,75.0,56,40,8.05,CA,1595285369
223,New Norfolk,-42.78,147.06,50.0,90,87,4.0,AU,1595284725
224,Upington,-28.45,21.26,50.0,29,0,2.24,ZA,1595285370
225,Manta,-0.95,-80.73,77.0,73,75,17.22,EC,1595285118
226,Kang,-23.68,22.79,48.45,47,0,7.74,BW,1595285370
227,Auki,-8.77,160.7,83.28,74,7,7.02,SB,1595285370
228,Atar,20.52,-13.05,95.41,25,5,6.78,MR,1595285370
229,Misratah,32.38,15.09,77.09,76,0,9.84,LY,1595285370
230,Bambous Virieux,-20.34,57.76,69.01,72,75,9.17,MU,1595285080
231,Biltine,14.53,20.92,74.26,73,100,2.62,TD,1595285371
232,Ucluelet,48.93,-125.55,72.0,68,5,8.05,CA,1595285340
233,Aklavik,68.22,-135.01,48.2,76,90,8.05,CA,1595285371
234,Port-Gentil,-0.72,8.78,75.2,88,20,11.21,GA,1595285371
235,Butaritari,3.07,172.79,82.94,68,41,5.08,KI,1595285371
236,Ginda,30.69,78.49,64.18,79,83,0.6,IN,1595285371
237,Örnsköldsvik,63.29,18.72,60.8,93,94,6.93,SE,1595285371
238,Champerico,14.3,-91.92,86.0,70,75,6.93,GT,1595285371
239,Sinnamary,5.38,-52.95,78.91,84,100,8.72,GF,1595285372
240,Hamilton,39.18,-84.53,91.0,46,75,4.7,US,1595285372
241,Brae,60.4,-1.35,51.8,81,93,4.7,GB,1595285372
242,Geraldton,-28.77,114.6,48.2,81,0,17.22,AU,1595285332
243,College,64.86,-147.8,70.0,52,75,9.17,US,1595285372
244,Gobabis,-22.45,18.97,44.6,39,0,2.24,NA,1595285372
245,Morro Bay,35.37,-120.85,84.0,81,16,4.0,US,1595285372
246,Kruisfontein,-34.0,24.73,59.58,89,97,4.59,ZA,1595285373
247,Taos,36.41,-105.57,82.4,18,40,25.28,US,1595285373
248,Tilichiki,60.47,166.1,56.17,73,63,2.77,RU,1595285353
249,Creel,27.75,-107.63,59.11,85,98,6.31,MX,1595285373
250,Beloha,-25.17,45.05,60.84,75,0,11.59,MG,1595285373
251,Broken Hill,-31.95,141.43,44.6,75,98,9.17,AU,1595285359
252,Yulara,-25.24,130.99,48.2,93,90,9.17,AU,1595285373
253,Derzhavīnsk,51.1,66.32,73.45,46,80,4.23,KZ,1595285374
254,Bonavista,48.65,-53.11,61.25,91,98,14.85,CA,1595285374
255,Iberia,29.95,-91.75,84.99,88,40,6.93,US,1595285374
256,Takoradze,4.88,-1.76,75.56,91,100,7.25,GH,1595285374
257,Yavaros,26.7,-109.52,91.99,59,33,11.99,MX,1595285374
258,La Ronge,55.1,-105.28,71.6,64,75,11.41,CA,1595285374
259,Charlestown,-32.95,151.67,50.0,65,0,7.25,AU,1595285374
260,Zhangjiakou,40.81,114.88,73.67,63,84,3.11,CN,1595285127
261,Aksarka,66.56,67.8,53.67,74,33,8.7,RU,1595285375
262,Mongoumba,3.64,18.59,68.29,96,36,2.08,CF,1595285375
263,Gârbova,45.87,23.73,64.4,82,40,3.36,RO,1595285375
264,Shaoyang,27.23,111.45,72.16,93,100,0.54,CN,1595285375
265,Mandalgovi,45.76,106.27,65.59,37,42,5.7,MN,1595285376
266,Saint George,37.1,-113.58,104.0,11,1,12.75,US,1595285376
267,Dingle,11.0,122.67,79.66,85,61,4.03,PH,1595285376
268,Norman Wells,65.28,-126.83,64.4,77,90,5.82,CA,1595285349
269,Río Cuarto,-33.13,-64.35,51.8,93,90,9.17,AR,1595285376
270,Lata,40.16,-8.33,71.01,70,31,5.84,PT,1595285376
271,Ankazobe,-18.32,47.12,53.6,87,75,4.7,MG,1595285376
272,Yangi Marg`ilon,40.43,71.72,73.4,40,35,9.17,UZ,1595285376
273,Jertih,5.73,102.49,77.0,94,20,2.24,MY,1595285377
274,Seoul,37.57,126.98,73.4,83,1,3.36,KR,1595285233
275,Si Bun Rueang,16.97,102.28,76.89,87,100,1.9,TH,1595285377
276,Chalisgaon,20.47,75.02,78.12,85,100,9.62,IN,1595285377
277,Paramonga,-10.67,-77.83,61.27,82,16,8.21,PE,1595285377
278,Plácido de Castro,-10.34,-67.19,80.8,59,57,0.4,BR,1595285377
279,Salinas,36.68,-121.66,71.01,60,1,13.87,US,1595285365
280,Port Elizabeth,-33.92,25.57,55.4,100,40,2.24,ZA,1595285378
281,Los Algarrobos,8.5,-82.43,80.01,94,40,6.93,PA,1595285378
282,Paamiut,61.99,-49.67,46.15,79,99,2.1,GL,1595285378
283,Jutaí,-5.18,-68.9,77.07,85,88,2.48,BR,1595285378
284,Pimentel,-6.84,-79.93,62.44,84,32,13.94,PE,1595285378
285,Tromsø,69.65,18.96,53.6,87,75,13.87,NO,1595285199
286,Bogdanovich,56.78,62.05,57.99,87,99,10.98,RU,1595285379
287,Dawlatabad,36.41,64.91,76.89,21,0,3.31,AF,1595285379
288,Kourou,5.16,-52.65,80.6,83,20,3.36,GF,1595285379
289,Grenville,12.12,-61.62,84.2,79,20,20.8,GD,1595285379
290,Kutum,14.2,24.67,73.94,68,18,6.78,SD,1595285379
291,Daru,-9.08,143.21,78.69,83,35,13.82,PG,1595285379
292,Neosho,36.87,-94.37,93.0,55,100,5.01,US,1595285125
293,Ponta Delgada,37.73,-25.67,66.2,77,20,5.82,PT,1595285379
294,Yinchuan,38.47,106.27,74.95,46,87,10.13,CN,1595285380
295,Moanda,-1.56,13.22,70.34,89,100,3.22,GA,1595285380
296,Doha,25.29,51.53,95.0,59,25,3.47,QA,1595285380
297,Ocean City,39.28,-74.57,93.2,49,1,10.29,US,1595285180
298,Durusu,41.31,28.68,73.4,78,0,5.82,TR,1595285380
299,Andenes,69.31,16.12,53.6,81,100,5.82,NO,1595285380
300,Sitka,57.05,-135.33,57.2,93,90,3.36,US,1595285380
301,Thasos,40.69,24.65,77.0,71,0,9.13,GR,1595285381
302,Sakakah,29.97,40.21,98.6,12,0,11.41,SA,1595285381
303,Ferme-Neuve,46.7,-75.45,66.09,65,79,8.43,CA,1595285381
304,Sambava,-14.27,50.17,68.58,79,77,13.47,MG,1595285381
305,Pacific Grove,36.62,-121.92,71.01,68,1,13.87,US,1595285220
306,Salalah,17.02,54.09,80.6,94,90,5.82,OM,1595285358
307,Rousse,43.86,25.97,68.0,82,0,6.26,BG,1595285381
308,Avera,33.19,-82.53,89.6,55,1,3.36,US,1595285382
309,Kirando,-7.42,30.6,72.73,57,53,9.35,TZ,1595285382
310,Kilimatinde,-5.85,34.95,57.22,73,12,1.54,TZ,1595285382
311,Tautira,-17.73,-149.15,82.4,69,20,3.36,PF,1595285382
312,Abadan,38.05,58.21,89.6,19,0,9.17,TM,1595285382
313,Sistranda,63.73,8.83,53.6,81,75,12.75,NO,1595285382
314,Poya,-21.35,165.15,71.24,55,85,5.91,NC,1595285284
315,Saldanha,-33.01,17.94,50.0,81,0,1.12,ZA,1595285342
316,Camacha,33.08,-16.33,69.8,73,20,21.92,PT,1595285383
317,Ankazoabo,-22.28,44.52,54.59,70,0,4.23,MG,1595285383
318,Point Pedro,9.82,80.23,80.8,84,99,10.07,LK,1595285383
319,Shubarshi,48.59,57.19,75.42,33,82,5.57,KZ,1595285383
320,Redmond,47.67,-122.12,88.0,52,0,6.51,US,1595285153
321,Beringovskiy,63.05,179.32,46.58,77,30,11.9,RU,1595285383
322,Puerto Escondido,15.85,-97.07,85.28,74,99,10.09,MX,1595285383
323,Erenhot,43.65,111.98,70.11,36,60,11.3,CN,1595285384
324,Udachny,66.42,112.4,51.8,93,90,11.18,RU,1595285384
325,Kumul,42.8,93.45,85.1,23,100,2.8,CN,1595285357
326,Bengkulu,-3.8,102.27,75.7,88,69,5.41,ID,1595285384
327,Zharkent,44.16,80.0,66.43,52,23,1.45,KZ,1595285384
328,Quechultenango,17.42,-99.22,79.27,76,100,4.72,MX,1595285384
329,Sorgun,39.81,35.19,64.36,87,3,8.68,TR,1595285384
330,Desaguadero,-16.57,-69.04,46.56,49,44,5.5,PE,1595285385
331,White Rock,49.02,-122.8,84.0,83,10,4.0,CA,1595285086
332,Vredendal,-31.67,18.5,62.76,29,0,8.66,ZA,1595285385
333,Fort Nelson,58.81,-122.7,75.2,47,75,3.36,CA,1595285127
334,Codrington,-38.27,141.97,50.95,81,97,5.55,AU,1595285385
335,Diré,12.28,-10.97,75.61,89,100,1.66,ML,1595285385
336,Tai’an,36.19,117.12,80.01,63,97,2.89,CN,1595285385
337,Correntina,-13.34,-44.64,70.29,52,69,7.02,BR,1595285386
338,Ostrovnoy,68.05,39.51,61.79,62,25,10.92,RU,1595285354
339,Nsanje,-16.92,35.26,61.41,89,4,2.42,MW,1595285386
340,Muravlenko,63.79,74.52,53.85,74,37,9.19,RU,1595285386
341,Sobolevo,54.43,31.9,56.82,92,53,5.1,RU,1595285386
342,Rawson,-43.3,-65.1,44.64,79,91,19.1,AR,1595285386
343,Rio Grande,-32.03,-52.1,69.01,76,95,8.55,BR,1595285386
344,Nola,40.92,14.53,75.2,78,0,3.36,IT,1595285387
345,Koutsouras,35.03,25.95,82.0,44,0,8.01,GR,1595285387
346,Ayan,56.45,138.17,52.43,95,100,16.06,RU,1595285387
347,Damaturu,11.75,11.96,76.12,73,84,9.95,NG,1595285387
348,Marawi,8.0,124.29,75.99,88,68,5.01,PH,1595285387
349,Laguna,38.42,-121.42,86.0,39,1,6.93,US,1595285387
350,Ust'-Omchug,61.15,149.63,64.24,53,12,5.84,RU,1595285387
351,Valley Station,38.11,-85.87,79.0,83,90,5.82,US,1595285274
352,Greifensee,47.37,8.68,68.0,72,4,2.55,CH,1595285388
353,Parrita,9.52,-84.32,78.8,61,40,12.75,CR,1595285388
354,Sola,-13.88,167.55,80.6,69,75,5.82,VU,1595285388
355,Ancud,-41.87,-73.82,48.2,81,89,3.36,CL,1595285363
356,Arrondissement de Provins,48.58,3.17,64.99,48,0,9.17,FR,1595285388
357,Mount Gambier,-37.83,140.77,44.6,100,90,6.93,AU,1595285388
358,Itarema,-2.92,-39.92,77.47,81,83,15.43,BR,1595285388
359,Road Town,18.42,-64.62,86.0,66,40,8.05,VG,1595285103
360,Coquimbo,-29.95,-71.34,57.2,76,13,8.05,CL,1595285389
361,Dubai,25.26,55.3,95.0,63,53,5.82,AE,1595285331
362,Kaoma,-14.78,24.8,50.76,67,16,5.39,ZM,1595285389
363,Yatou,37.15,122.38,74.52,76,29,3.02,CN,1595285389
364,Bolshaya Glushitsa,50.24,43.59,63.23,70,45,1.23,RU,1595285389
365,Schwaigern,49.14,9.05,70.0,72,13,4.85,DE,1595285390
366,Borgarnes,64.54,-21.92,50.0,71,20,5.82,IS,1595285149
367,Anito,12.45,125.29,83.23,83,79,3.49,PH,1595285390
368,Boueni,-12.9,45.08,77.0,69,90,13.87,YT,1595285390
369,Netivot,31.42,34.59,80.01,66,0,4.0,IL,1595285390
370,Gornozavodsk,58.38,58.32,55.18,78,95,12.19,RU,1595285390
371,Cabedelo,-6.98,-34.83,71.6,88,40,5.82,BR,1595285391
372,Nam Som,17.77,102.19,84.0,67,100,0.81,TH,1595285391
373,Ranong,9.97,98.63,79.2,81,100,2.33,TH,1595285391
374,Long,18.08,99.83,81.0,60,99,1.52,TH,1595285391
375,Oga,46.46,10.35,59.0,87,75,5.82,IT,1595285391
376,Dali,25.7,100.18,63.46,88,100,3.74,CN,1595285151
